time_tag, T, EM
2017-09-06 12:00:04, 26.2997, 27.3314
2017-09-06 12:00:06, 26.2906, 27.4377
2017-09-06 12:00:08, 26.288, 27.5761
2017-09-06 12:00:10, 26.2951, 27.7071
2017-09-06 12:00:12, 26.3243, 27.8211
2017-09-06 12:00:14, 26.3366, 28.0098
2017-09-06 12:00:16, 26.3583, 28.2039
2017-09-06 12:00:19, 26.3723, 28.3664
2017-09-06 12:00:21, 26.3774, 28.5231
2017-09-06 12:00:23, 26.3801, 28.7067
2017-09-06 12:00:25, 26.3739, 28.8725
2017-09-06 12:00:27, 26.3587, 29.045
2017-09-06 12:00:29, 26.3535, 29.2103
2017-09-06 12:00:31, 26.3379, 29.3834
2017-09-06 12:00:33, 26.3415, 29.5538
2017-09-06 12:00:35, 26.3451, 29.7242
2017-09-06 12:00:37, 26.3505, 29.881
2017-09-06 12:00:39, 26.3353, 30.0541
2017-09-06 12:00:41, 26.3025, 30.2174
2017-09-06 12:00:43, 26.289, 30.39
2017-09-06 12:00:45, 26.3047, 30.5131
2017-09-06 12:00:47, 26.3205, 30.6487
2017-09-06 12:00:49, 26.304, 30.8481
2017-09-06 12:00:51, 26.2858, 30.9755
2017-09-06 12:00:53, 26.27, 31.0641
2017-09-06 12:00:55, 26.2335, 31.208
2017-09-06 12:00:57, 26.2056, 31.3446
2017-09-06 12:00:59, 26.1811, 31.4412
2017-09-06 12:01:02, 26.1638, 31.5687
2017-09-06 12:01:04, 26.1424, 31.7374
2017-09-06 12:01:06, 26.1429, 31.8489
2017-09-06 12:01:08, 26.1237, 32.0033
2017-09-06 12:01:10, 26.1096, 32.1909
2017-09-06 12:01:12, 26.1038, 32.3956
2017-09-06 12:01:14, 26.1175, 32.5574
2017-09-06 12:01:16, 26.1138, 32.7226
2017-09-06 12:01:18, 26.0756, 32.9207
2017-09-06 12:01:20, 26.024, 33.0816
2017-09-06 12:01:22, 25.9847, 33.1815
2017-09-06 12:01:24, 25.9537, 33.2859
2017-09-06 12:01:26, 25.9286, 33.4229
2017-09-06 12:01:28, 25.9135, 33.5374
2017-09-06 12:01:30, 25.8799, 33.6825
2017-09-06 12:01:32, 25.8699, 33.8428
2017-09-06 12:01:34, 25.869, 33.9944
2017-09-06 12:01:36, 25.8612, 34.1152
2017-09-06 12:01:38, 25.8406, 34.1979
2017-09-06 12:01:40, 25.8027, 34.2981
2017-09-06 12:01:42, 25.7532, 34.473
2017-09-06 12:01:45, 25.721, 34.6185
2017-09-06 12:01:47, 25.6906, 34.7371
2017-09-06 12:01:49, 25.6513, 34.8778
2017-09-06 12:01:51, 25.6213, 34.9965
2017-09-06 12:01:53, 25.5752, 35.1318
2017-09-06 12:01:55, 25.5223, 35.2492
2017-09-06 12:01:57, 25.4724, 35.3003
2017-09-06 12:01:59, 25.3975, 35.3898
2017-09-06 12:02:01, 25.3387, 35.4634
2017-09-06 12:02:03, 25.2966, 35.5199
2017-09-06 12:02:05, 25.2614, 35.6075
2017-09-06 12:02:07, 25.2268, 35.682
2017-09-06 12:02:09, 25.1755, 35.7867
2017-09-06 12:02:11, 25.1324, 35.8705
2017-09-06 12:02:13, 25.0763, 35.9409
2017-09-06 12:02:15, 25.0135, 36.0051
2017-09-06 12:02:17, 24.9519, 36.0426
2017-09-06 12:02:19, 24.8902, 36.0546
2017-09-06 12:02:21, 24.8053, 36.1034
2017-09-06 12:02:23, 24.7505, 36.1343
2017-09-06 12:02:26, 24.6807, 36.1676
2017-09-06 12:02:28, 24.6258, 36.2121
2017-09-06 12:02:30, 24.5793, 36.2342
2017-09-06 12:02:32, 24.5245, 36.2527
2017-09-06 12:02:34, 24.4776, 36.2757
2017-09-06 12:02:36, 24.408, 36.2702
2017-09-06 12:02:38, 24.3537, 36.2617
2017-09-06 12:02:40, 24.2909, 36.2622
2017-09-06 12:02:42, 24.2359, 36.281
2017-09-06 12:02:44, 24.1889, 36.2648
2017-09-06 12:02:46, 24.1255, 36.2659
2017-09-06 12:02:48, 24.0545, 36.2487
2017-09-06 12:02:50, 23.9914, 36.236
2017-09-06 12:02:52, 23.9331, 36.2163
2017-09-06 12:02:54, 23.8823, 36.1752
2017-09-06 12:02:56, 23.8317, 36.1469
2017-09-06 12:02:58, 23.7729, 36.1273
2017-09-06 12:03:00, 23.7291, 36.0788
2017-09-06 12:03:02, 23.692, 36.063
2017-09-06 12:03:04, 23.6552, 36.0473
2017-09-06 12:03:06, 23.6177, 36.0323
2017-09-06 12:03:09, 23.5581, 35.9997
2017-09-06 12:03:11, 23.4977, 35.914
2017-09-06 12:03:13, 23.4449, 35.8468
2017-09-06 12:03:15, 23.3988, 35.7866
2017-09-06 12:03:17, 23.353, 35.7391
2017-09-06 12:03:19, 23.3146, 35.6972
2017-09-06 12:03:21, 23.2758, 35.6424
2017-09-06 12:03:23, 23.2361, 35.575
2017-09-06 12:03:25, 23.1969, 35.5066
2017-09-06 12:03:27, 23.1492, 35.4196
2017-09-06 12:03:29, 23.1014, 35.3595
2017-09-06 12:03:31, 23.0606, 35.2788
2017-09-06 12:03:33, 23.0129, 35.2323
2017-09-06 12:03:35, 22.9797, 35.1573
2017-09-06 12:03:37, 22.9465, 35.0817
2017-09-06 12:03:39, 22.9054, 35.0281
2017-09-06 12:03:41, 22.875, 34.9647
2017-09-06 12:03:43, 22.8443, 34.8877
2017-09-06 12:03:45, 22.8062, 34.805
